"",order,costum,collect,prod,barcode,weight,pacs
2795,25483,152752.0,2018-10-01,331l,3796076,12.00,1
2796,25483,152752.0,2018-10-01,64162,3796861,16.55,1
2797,25483,152752.0,2018-10-01,16162S,3796946,22.68,1
2798,25483,152752.0,2018-10-01,16162S,3796946,26.08,1
2799,25483,152752.0,2018-10-01,12162CB,8614221,24.36,1
2800,25483,152752.0,2018-10-01,12162CB,8614221,20.26,1
2801,25483,152752.0,2018-10-01,5005-7,3632442,10.00,1
2868,25492,152855.0,2018-10-01,50099,611761,10.16,1
2869,25492,152855.0,2018-10-01,50099,611761,9.18,1
2870,25492,152855.0,2018-10-01,50099,611761,9.50,1
2894,25492,152855.0,2018-10-01,50500,611051,15.15,1
2895,25492,152855.0,2018-10-01,50500,611051,12.68,1
2896,25492,152855.0,2018-10-01,50500,611051,17.32,1
2897,25492,152855.0,2018-10-01,8001,NaN,10.00,1
2898,25492,152855.0,2018-10-01,132082CP,8614238,19.82,1
2899,25492,152855.0,2018-10-01,132082CP,8614238,19.51,1
2900,25492,152855.0,2018-10-01,37170,1369494,21.00,1
2901,25492,152855.0,2018-10-01,8032,8469661,9.00,1
3355,25521,1522551.0,2018-10-01,8051,1369913,400.00,40
3356,25522,152761.0,2018-10-01,4007-9,8469968,10.00,1
3357,25522,152761.0,2018-10-01,8008,3780531,10.00,1
3358,25522,152761.0,2018-10-01,8042,6220387,20.00,2
3359,25522,152761.0,2018-10-01,15162C,8614252,22.62,1
3360,25522,152761.0,2018-10-01,12162CB,8614221,19.84,1
3361,25522,152761.0,2018-10-01,12162CB,8614221,23.14,1
3362,25522,152761.0,2018-10-01,25162AC,8614146,19.80,1
3363,25522,152761.0,2018-10-01,67451C,8614443,8.16,1
3364,25523,156055.0,2018-10-01,8015,3796885,50.00,5
3407,25523,156055.0,2018-10-01,8042,6220387,10.00,1
3408,25524,157141.0,2018-10-01,9156,1369258,650.00,19
3409,25526,157200.0,2018-10-01,11162GVCA4,1369609,21.18,1
3410,25526,157200.0,2018-10-01,14162C,8614245,22.50,1
3411,25526,157200.0,2018-10-01,14162C,8614245,23.06,1
3412,25526,157200.0,2018-10-01,3005-7,8469890,30.00,3
3413,25526,157200.0,2018-10-01,3007-9,8469876,20.00,2
3414,25526,157200.0,2018-10-01,37171,8614856,7.70,1
3415,25526,157200.0,2018-10-01,9026,1369388,10.00,1
3416,25526,157200.0,2018-10-01,9046,NaN,7.20,1
3417,25526,157200.0,2018-10-01,93451CV4.2,622071,13.82,1
3418,25526,157200.0,2018-10-01,12162CB,8614221,22.36,1
3419,25526,157200.0,2018-10-01,12162CB,8614221,23.52,1
3420,25526,157200.0,2018-10-01,132082CP,8614238,23.63,1
3421,25526,157200.0,2018-10-01,132082CP,8614238,27.65,1
3422,25528,151402.0,2018-10-01,11451CG36,8469432,25.34,1
3423,25528,151402.0,2018-10-01,11451CG36,8469432,24.16,1
3424,25528,151402.0,2018-10-01,11451CG36,8469432,24.60,1
3425,25528,151402.0,2018-10-01,11451CG36,8469432,24.63,1
3426,25528,151402.0,2018-10-01,11451CG36,8469432,26.79,1
3427,25528,151402.0,2018-10-01,11451CG36,8469432,24.82,1
3428,25528,151402.0,2018-10-01,11451CG36,8469432,25.34,1
3429,25528,151402.0,2018-10-01,11451CG36,8469432,25.52,1
3578,25528,151402.0,2018-10-01,11451CG36,8469432,25.07,1
3579,25528,151402.0,2018-10-01,11451CG36,8469432,23.56,1
3580,25529,157930.0,2018-10-01,3007-9,8469876,50.00,5
3581,25529,157930.0,2018-10-01,12451C,8469449,23.06,1
3582,25529,157930.0,2018-10-01,12451C,8469449,25.37,1
3583,25529,157930.0,2018-10-01,12451C,8469449,26.88,1
3584,25529,157930.0,2018-10-01,12451C,8469449,23.80,1
