"",order,costum,collect,prod,barcode,weight,pacs
1378,25389,152783.0,2018-04-01,37120,1369579,21.00,1
1379,25389,152783.0,2018-04-01,652082C,NaN,30.63,1
1380,25389,152783.0,2018-04-01,8008,3780531,10.00,1
1381,25389,152783.0,2018-04-01,9047,1369173,10.00,1
1382,25389,152783.0,2018-04-01,64162C,NaN,17.25,1
1383,25389,152783.0,2018-04-01,64162C,NaN,17.75,1
1422,25392,151495.0,2018-04-01,8042,6220387,200.00,20
1423,25392,151495.0,2018-04-01,8051,1369913,200.00,20
1424,25394,152754.0,2018-04-01,50105,NaN,8.70,1
1425,25394,152754.0,2018-04-01,50105,NaN,8.40,1
1426,25394,152754.0,2018-04-01,50105,NaN,8.75,1
1427,25394,152754.0,2018-04-01,50106,NaN,9.10,1
1428,25394,152754.0,2018-04-01,50106,NaN,8.27,1
1429,25394,152754.0,2018-04-01,50106,NaN,8.91,1
1430,25394,152754.0,2018-04-01,50107,NaN,6.55,1
1431,25394,152754.0,2018-04-01,50107,NaN,7.24,1
1432,25394,152754.0,2018-04-01,50107,NaN,7.42,1
1433,25398,153022.0,2018-04-01,12162CB,8614221,18.86,1
1434,25398,153022.0,2018-04-01,12162CB,8614221,21.12,1
1435,25398,153022.0,2018-04-01,12162CB,8614221,22.90,1
1436,25398,153022.0,2018-04-01,12162CB,8614221,23.22,1
1437,25398,153022.0,2018-04-01,12162CB,8614221,24.18,1
1438,25398,153022.0,2018-04-01,12162CB,8614221,26.00,1
1439,25398,153022.0,2018-04-01,12162CB,8614221,26.20,1
1440,25398,153022.0,2018-04-01,12162CB,8614221,21.32,1
1441,25398,153022.0,2018-04-01,12162CB,8614221,22.34,1
1442,25398,153022.0,2018-04-01,12162CB,8614221,24.70,1
1443,25398,153022.0,2018-04-01,12162CB,8614221,20.70,1
1444,25398,153022.0,2018-04-01,12162CB,8614221,22.52,1
1445,25398,153022.0,2018-04-01,12162CB,8614221,22.90,1
1446,25398,153022.0,2018-04-01,12162CB,8614221,25.60,1
1447,25398,153022.0,2018-04-01,12162CB,8614221,20.80,1
1448,25398,153022.0,2018-04-01,12162CB,8614221,21.06,1
1449,25398,153022.0,2018-04-01,12162CB,8614221,23.32,1
1450,25398,153022.0,2018-04-01,12162CB,8614221,23.42,1
1451,25398,153022.0,2018-04-01,12162CB,8614221,24.50,1
1452,25398,153022.0,2018-04-01,12162CB,8614221,25.76,1
1453,25399,157157.0,2018-04-01,13451S,8469548,26.04,1
1454,25399,157157.0,2018-04-01,13451S,8469548,25.05,1
1455,25399,157157.0,2018-04-01,13451S,8469548,24.10,1
