"",order,costum,collect,prod,barcode,weight,pacs
230,25308,152629.0,2018-01-01,64162C,NaN,17.75,1
231,25308,152629.0,2018-01-01,64162C,NaN,16.90,1
232,25308,152629.0,2018-01-01,64162C,NaN,17.90,1
233,25308,152629.0,2018-01-01,64162C,NaN,6.95,1
234,25308,152629.0,2018-01-01,64162C,NaN,15.60,1
235,25308,152629.0,2018-01-01,64162C,NaN,16.35,1
236,25308,152629.0,2018-01-01,64162C,NaN,16.55,1
237,25308,152629.0,2018-01-01,64162C,NaN,16.80,1
238,25308,152629.0,2018-01-01,64162C,NaN,17.90,1
239,25308,152629.0,2018-01-01,64451C,8469623,11.10,1
240,25310,152824.0,2018-01-01,122082S,3796649,26.94,1
241,25310,152824.0,2018-01-01,122082S,3796649,26.04,1
286,25310,152824.0,2018-01-01,122082S,3796649,26.07,1
287,25310,152824.0,2018-01-01,122082S,3796649,24.59,1
288,25310,152824.0,2018-01-01,99162C,8469708,20.98,1
289,25310,152824.0,2018-01-01,99162C,8469708,22.28,1
290,25310,152824.0,2018-01-01,99162C,8469708,21.52,1
291,25310,152824.0,2018-01-01,99162C,8469708,22.00,1
292,25310,152824.0,2018-01-01,99162C,8469708,19.48,1
293,25311,157058.0,2018-01-01,14162C,8614245,26.64,1
294,25311,157058.0,2018-01-01,3007-9,8469876,30.00,3
295,25311,157058.0,2018-01-01,331xxl,3796090,60.00,3
296,25311,157058.0,2018-01-01,3710,1369050,10.00,1
297,25311,157058.0,2018-01-01,9018,NaN,13.60,1
298,25311,157058.0,2018-01-01,9018,NaN,13.60,1
299,25311,157058.0,2018-01-01,9020,8614702,10.00,1
300,25311,157058.0,2018-01-01,9022,1369418,32.00,1
301,25311,157058.0,2018-01-01,9048,1369234,32.00,1
302,25311,157058.0,2018-01-01,9156,1369258,32.20,1
303,25311,157058.0,2018-01-01,12162C,8614221,23.30,1
304,25311,157058.0,2018-01-01,12162C,8614221,23.78,1
305,25311,157058.0,2018-01-01,12162C,8614221,26.36,1
306,25311,157058.0,2018-01-01,12162CB,8614221,23.24,1
307,25312,152177.0,2018-01-01,9018,NaN,15.90,1
308,25312,152177.0,2018-01-01,1162CGVPMPS3UP,8614214,24.84,1
331,25312,152177.0,2018-01-01,1162CGVPMPS3UP,8614214,24.96,1
332,25312,152177.0,2018-01-01,1162CGVPMPS3UP,8614214,24.08,1
333,25312,152177.0,2018-01-01,1162CGVPMPS3UP,8614214,25.32,1
334,25312,152177.0,2018-01-01,1162CGVPMPS3UP,8614214,25.44,1
400,25315,152816.0,2018-01-01,132082C,8614238,27.13,1
401,25315,152816.0,2018-01-01,132082C,8614238,21.60,1
402,25315,152816.0,2018-01-01,132082C,8614238,26.45,1
403,25315,152816.0,2018-01-01,132082C,8614238,23.72,1
404,25315,152816.0,2018-01-01,132082C,8614238,25.62,1
405,25315,152816.0,2018-01-01,132082C,8614238,25.82,1
406,25315,152816.0,2018-01-01,8051,1369913,10.00,1
407,25315,152816.0,2018-01-01,9018,NaN,14.40,1
408,25315,152816.0,2018-01-01,19451S,8469685,27.44,1
409,25315,152816.0,2018-01-01,19451S,8469685,25.93,1
410,25315,152816.0,2018-01-01,19451S,8469685,26.36,1
411,25315,152816.0,2018-01-01,19451S,8469685,25.11,1
412,25315,152816.0,2018-01-01,19451S,8469685,25.27,1
413,25315,152816.0,2018-01-01,19451S,8469685,27.00,1
414,25315,152816.0,2018-01-01,19451S,8469685,25.86,1
415,25315,152816.0,2018-01-01,19451S,8469685,26.40,1
416,25315,152816.0,2018-01-01,19451S,8469685,25.29,1
440,25315,152816.0,2018-01-01,19451S,8469685,25.39,1
441,25316,157745.0,2018-01-01,8032,8469661,9.00,1
442,25316,157745.0,2018-01-01,8044,6220547,10.00,1
443,25316,157745.0,2018-01-01,12451S,8469531,28.53,1
444,25316,157745.0,2018-01-01,12451S,8469531,25.41,1
445,25316,157745.0,2018-01-01,12451S,8469531,28.47,1
446,25316,157745.0,2018-01-01,12451S,8469531,26.98,1
447,25316,157745.0,2018-01-01,12451S,8469531,27.45,1
448,25316,157745.0,2018-01-01,12451S,8469531,26.47,1
449,25316,157745.0,2018-01-01,12451S,8469531,25.95,1
450,25316,157745.0,2018-01-01,12451S,8469531,25.92,1
451,25316,157745.0,2018-01-01,12451S,8469531,26.92,1
452,25316,157745.0,2018-01-01,12451S,8469531,27.83,1
453,25317,157081.0,2018-01-01,1162SGVPPS4UP,3796991,25.38,1
454,25317,157081.0,2018-01-01,18451CB,8469500,23.34,1
455,25317,157081.0,2018-01-01,18451CB,8469500,23.32,1
456,25317,157081.0,2018-01-01,10451S,8469609,27.52,1
457,25317,157081.0,2018-01-01,10451S,8469609,27.44,1
458,25317,157081.0,2018-01-01,10451S,8469609,26.32,1
459,25317,157081.0,2018-01-01,10451S,8469609,24.31,1
460,25317,157081.0,2018-01-01,10451S,8469609,27.16,1
461,25317,157081.0,2018-01-01,10451S,8469609,27.46,1
462,25317,157081.0,2018-01-01,15162C,8614252,24.78,1
473,25320,1571661.0,2018-01-01,11162CGVM3,8614214,25.42,1
474,25320,1571661.0,2018-01-01,9046,NaN,7.20,1
475,25320,1571661.0,2018-01-01,93451CV4.2,622071,14.21,1
476,25320,1571661.0,2018-01-01,10451S,8469609,23.69,1
477,25320,1571661.0,2018-01-01,10451S,8469609,26.10,1
478,25320,1571661.0,2018-01-01,10451S,8469609,24.73,1
479,25320,1571661.0,2018-01-01,92451C-1.5,8614627,16.13,1
480,25321,157106.0,2018-01-01,3007-9,8469876,20.00,2
481,25321,157106.0,2018-01-01,18451C,8469500,26.58,1
482,25321,157106.0,2018-01-01,18451C,8469500,27.77,1
483,25321,157106.0,2018-01-01,18451C,8469500,26.41,1
484,25322,157741.0,2018-01-01,18451SB,1369876,28.86,1
485,25322,157741.0,2018-01-01,9046,NaN,21.60,3
486,25322,157741.0,2018-01-01,122082C,8614221,24.96,1
487,25322,157741.0,2018-01-01,14162SP,3796984,22.52,1
505,25324,157166.0,2018-01-01,112082CGVPS4,8614993,21.80,1
506,25324,157166.0,2018-01-01,93451CV4.2,622071,15.04,1
507,25324,157166.0,2018-01-01,12162C,8614221,26.14,1
508,25324,157166.0,2018-01-01,12162C,8614221,25.78,1
509,25324,157166.0,2018-01-01,12162C,8614221,25.22,1
510,25324,157166.0,2018-01-01,18162CB,1369869,21.50,1
511,25325,152284.0,2018-01-01,1162SGVPPS4UP,3796991,17.76,1
512,25325,152284.0,2018-01-01,1162SGVPPS4UP,3796991,20.18,1
513,25325,152284.0,2018-01-01,8011,3780821,20.00,2
514,25325,152284.0,2018-01-01,19451S,8469685,24.05,1
515,25325,152284.0,2018-01-01,19451S,8469685,24.11,1
516,25327,157196.0,2018-01-01,12162CA,1369616,19.44,1
517,25327,157196.0,2018-01-01,12162CA,1369616,24.98,1
518,25327,157196.0,2018-01-01,12162CA,1369616,25.24,1
519,25327,157196.0,2018-01-01,93451CV4.2,622071,13.92,1
520,25327,157196.0,2018-01-01,99162C,8469708,20.44,1
521,25328,157420.0,2018-01-01,3007-9,8469876,50.00,5
522,25328,157420.0,2018-01-01,13451C,8469456,22.90,1
523,25328,157420.0,2018-01-01,13451C,8469456,23.10,1
524,25328,157420.0,2018-01-01,13451C,8469456,23.41,1
525,25328,157420.0,2018-01-01,13451C,8469456,22.81,1
526,25328,157420.0,2018-01-01,13451C,8469456,25.80,1
527,25329,157172.0,2018-01-01,331xl,3796083,48.00,4
528,25329,157172.0,2018-01-01,37120,1369579,21.00,1
529,25329,157172.0,2018-01-01,9018,NaN,13.90,1
530,25329,157172.0,2018-01-01,9081,8614207,21.10,1
531,25330,152081.0,2018-01-01,11162CGVM3,8614214,25.00,1
532,25330,152081.0,2018-01-01,122082C,8614221,26.28,1
533,25330,152081.0,2018-01-01,8042,6220387,10.00,1
534,25330,152081.0,2018-01-01,8051,1369913,10.00,1
535,25330,152081.0,2018-01-01,19451S,8469685,24.05,1
536,25330,152081.0,2018-01-01,4005-7,8469975,60.00,6
537,25331,1500083.0,2018-01-01,50102,NaN,12.24,1
538,25331,1500083.0,2018-01-01,50102,NaN,13.20,1
539,25331,1500083.0,2018-01-01,50102,NaN,11.72,1
540,25331,1500083.0,2018-01-01,50102,NaN,12.28,1
541,25331,1500083.0,2018-01-01,50102,NaN,12.68,1
542,25331,1500083.0,2018-01-01,50102,NaN,12.86,1
543,25331,1500083.0,2018-01-01,50102,NaN,12.94,1
544,25331,1500083.0,2018-01-01,50102,NaN,12.32,1
545,25331,1500083.0,2018-01-01,50102,NaN,12.02,1
589,25331,1500083.0,2018-01-01,50102,NaN,12.08,1
590,25331,1500083.0,2018-01-01,50102,NaN,12.32,1
591,25331,1500083.0,2018-01-01,50102,NaN,12.60,1
592,25331,1500083.0,2018-01-01,50102,NaN,12.70,1
593,25331,1500083.0,2018-01-01,50102,NaN,11.86,1
594,25331,1500083.0,2018-01-01,50102,NaN,11.18,1
595,25331,1500083.0,2018-01-01,50102,NaN,11.48,1
596,25331,1500083.0,2018-01-01,50102,NaN,11.96,1
597,25331,1500083.0,2018-01-01,50102,NaN,12.34,1
598,25331,1500083.0,2018-01-01,50102,NaN,12.44,1
599,25331,1500083.0,2018-01-01,50102,NaN,12.96,1
600,25332,1500081.0,2018-01-01,50102,NaN,12.22,1
601,25332,1500081.0,2018-01-01,50102,NaN,12.24,1
602,25332,1500081.0,2018-01-01,50102,NaN,12.34,1
603,25332,1500081.0,2018-01-01,50102,NaN,11.54,1
604,25332,1500081.0,2018-01-01,50102,NaN,10.50,1
605,25332,1500081.0,2018-01-01,50102,NaN,12.54,1
606,25332,1500081.0,2018-01-01,50102,NaN,13.20,1
607,25332,1500081.0,2018-01-01,50102,NaN,11.40,1
608,25332,1500081.0,2018-01-01,50102,NaN,11.44,1
609,25332,1500081.0,2018-01-01,50102,NaN,13.14,1
610,25333,1500082.0,2018-01-01,50102,NaN,11.82,1
611,25333,1500082.0,2018-01-01,50102,NaN,11.86,1
612,25333,1500082.0,2018-01-01,50102,NaN,11.14,1
636,25333,1500082.0,2018-01-01,50102,NaN,11.90,1
637,25333,1500082.0,2018-01-01,50102,NaN,11.86,1
638,25333,1500082.0,2018-01-01,50102,NaN,10.96,1
639,25333,1500082.0,2018-01-01,50102,NaN,11.54,1
640,25333,1500082.0,2018-01-01,50102,NaN,11.88,1
641,25333,1500082.0,2018-01-01,50102,NaN,11.52,1
642,25333,1500082.0,2018-01-01,50102,NaN,12.02,1
80527,95148,15290001.0,2018-01-01,4005-7,8469975,400.00,40
80528,95148,15290001.0,2018-01-01,37170,1369494,336.00,16
80529,95148,15290001.0,2018-01-01,122082S,3796649,22.59,1
80530,95148,15290001.0,2018-01-01,122082S,3796649,22.49,1
80531,95148,15290001.0,2018-01-01,122082S,3796649,19.74,1
80532,95148,15290001.0,2018-01-01,122082S,3796649,22.40,1
80533,95148,15290001.0,2018-01-01,122082S,3796649,22.82,1
80534,95148,15290001.0,2018-01-01,122082S,3796649,22.56,1
80535,95148,15290001.0,2018-01-01,122082S,3796649,19.62,1
80536,95148,15290001.0,2018-01-01,122082S,3796649,21.89,1
80537,95148,15290001.0,2018-01-01,122082S,3796649,19.74,1
80538,95148,15290001.0,2018-01-01,122082S,3796649,20.49,1
80539,95149,15290001.0,2018-01-01,9049,2695417,10.09,1
80540,95149,15290001.0,2018-01-01,9049,2695417,10.38,1
80541,95149,15290001.0,2018-01-01,9049,2695417,6.29,1
80542,95149,15290001.0,2018-01-01,9049,2695417,9.76,1
80543,95150,15285302.0,2018-01-01,9018,NaN,13.60,1
80544,95150,15285302.0,2018-01-01,9018,NaN,14.90,1
80545,95150,15285302.0,2018-01-01,9018,NaN,15.60,1
80546,95150,15285302.0,2018-01-01,9082,8614849,10.07,1
80547,95150,15285302.0,2018-01-01,3711,1369364,10.00,1
80548,95150,15285302.0,2018-01-01,37171,8614856,8.65,1
80549,95150,15285302.0,2018-01-01,9026,1369388,10.00,1
80550,95150,15285302.0,2018-01-01,9046,NaN,21.60,3
80551,95150,15285302.0,2018-01-01,652082C,NaN,25.21,1
80552,95151,152197.0,2018-01-01,14451SZ,8469555,848.51,34
80553,95151,152197.0,2018-01-01,14451SZ,8469555,25.17,1
80554,95151,152197.0,2018-01-01,14451SZ,8469555,25.22,1
80555,95151,152197.0,2018-01-01,14451SZ,8469555,27.00,1
80556,95151,152197.0,2018-01-01,14451SZ,8469555,24.21,1
80557,95151,152197.0,2018-01-01,14451SZ,8469555,23.38,1
80558,95151,152197.0,2018-01-01,14451SZ,8469555,24.44,1
80559,95151,152197.0,2018-01-01,92451C-1.3,8614627,10.92,1
80560,95151,152197.0,2018-01-01,92451C-1.3,8614627,14.80,1
80561,95151,152197.0,2018-01-01,92451C-1.3,8614627,14.70,1
80562,95151,152197.0,2018-01-01,92451C-1.3,8614627,14.63,1
80563,95151,152197.0,2018-01-01,92451C-1.3,8614627,14.40,1
80564,95151,152197.0,2018-01-01,92451C-1.3,8614627,14.91,1
